Språk,Wikipedia-sida,Extern länk,Wikipedia-länk,Domän,lang_code,lang_name,domain,wiki,year,legacy_dspace,status,error,elapsed,is_broken,failure_type
ast,Pietro Bembo,https://kulturarvsdata.se/LSH/agents/61750,https://ast.wikipedia.org/wiki/Pietro_Bembo,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.054739,True,hard_404
ast,Juan Caramuel,https://kulturarvsdata.se/LSH/agents/57767,https://ast.wikipedia.org/wiki/Juan_Caramuel,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.057949,True,hard_404
ast,Johann Franz Buddeus,https://kulturarvsdata.se/LSH/agents/44409,https://ast.wikipedia.org/wiki/Johann_Franz_Buddeus,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.054376,True,hard_404
ast,Marcu Verrio Flacu,https://kulturarvsdata.se/LSH/agents/47448,https://ast.wikipedia.org/wiki/Marcu_Verrio_Flacu,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.054015,True,hard_404
ast,Charles Estienne,https://kulturarvsdata.se/LSH/agents/42753,https://ast.wikipedia.org/wiki/Charles_Estienne,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.05426,True,hard_404
ast,Jeremías Drexelio,https://kulturarvsdata.se/LSH/agents/42207,https://ast.wikipedia.org/wiki/Jeremías_Drexelio,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.058325,True,hard_404
ast,François Hotman,https://kulturarvsdata.se/LSH/agents/53312,https://ast.wikipedia.org/wiki/François_Hotman,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.058264,True,hard_404
ast,Giovanni Battista Ferrari,https://kulturarvsdata.se/LSH/agents/44428,https://ast.wikipedia.org/wiki/Giovanni_Battista_Ferrari,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.057434,True,hard_404
ast,Nikolaus Hieronymus Gundling,https://kulturarvsdata.se/LSH/agents/43218,https://ast.wikipedia.org/wiki/Nikolaus_Hieronymus_Gundling,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.061096,True,hard_404
ast,Francisco Hernández de Toledo,https://kulturarvsdata.se/LSH/agents/61941,https://ast.wikipedia.org/wiki/Francisco_Hernández_de_Toledo,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,1941,False,404.0,,0.061513,True,hard_404
ast,Ludvig Holberg,https://kulturarvsdata.se/LSH/agents/56862,https://ast.wikipedia.org/wiki/Ludvig_Holberg,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.060077,True,hard_404
ast,Ludwig Lavater,https://kulturarvsdata.se/LSH/agents/51232,https://ast.wikipedia.org/wiki/Ludwig_Lavater,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.06106,True,hard_404
ast,Arngrímur Jónsson,https://kulturarvsdata.se/LSH/agents/42083,https://ast.wikipedia.org/wiki/Arngrímur_Jónsson,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,2083,False,404.0,,0.055417,True,hard_404
ast,Amiano Marcelino,https://kulturarvsdata.se/LSH/agents/49225,https://ast.wikipedia.org/wiki/Amiano_Marcelino,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.055495,True,hard_404
ast,Isidoru de Sevilla,https://kulturarvsdata.se/LSH/agents/55437,https://ast.wikipedia.org/wiki/Isidoru_de_Sevilla,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.059685,True,hard_404
ast,Peter Kolbe,https://kulturarvsdata.se/LSH/agents/47450,https://ast.wikipedia.org/wiki/Peter_Kolbe,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.054857,True,hard_404
ast,Oddr Snorrason,https://kulturarvsdata.se/LSH/agents/52297,https://ast.wikipedia.org/wiki/Oddr_Snorrason,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.05619,True,hard_404
ast,Flaviu Xosefu,https://kulturarvsdata.se/LSH/agents/48016,https://ast.wikipedia.org/wiki/Flaviu_Xosefu,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.058637,True,hard_404
ast,Justus Lipsius,https://kulturarvsdata.se/LSH/agents/49355,https://ast.wikipedia.org/wiki/Justus_Lipsius,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.056576,True,hard_404
ast,Prisciano,https://kulturarvsdata.se/LSH/agents/63790,https://ast.wikipedia.org/wiki/Prisciano,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.055625,True,hard_404
ast,Martín d'Opava,https://kulturarvsdata.se/LSH/agents/61171,https://ast.wikipedia.org/wiki/Martín_d'Opava,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.056233,True,hard_404
ast,Aulu Persiu Flacu,https://kulturarvsdata.se/LSH/agents/52670,https://ast.wikipedia.org/wiki/Aulu_Persiu_Flacu,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.057718,True,hard_404
ast,André du Ryer,https://kulturarvsdata.se/LSH/agents/53150,https://ast.wikipedia.org/wiki/André_du_Ryer,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.056495,True,hard_404
ast,Saxo Grammaticus,https://kulturarvsdata.se/LSH/agents/48589,https://ast.wikipedia.org/wiki/Saxo_Grammaticus,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.058707,True,hard_404
ast,Onofrio Panvinio,https://kulturarvsdata.se/LSH/agents/62474,https://ast.wikipedia.org/wiki/Onofrio_Panvinio,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.055208,True,hard_404
ast,Giulio Cesara Scaligero,https://kulturarvsdata.se/LSH/agents/59725,https://ast.wikipedia.org/wiki/Giulio_Cesara_Scaligero,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.056002,True,hard_404
ast,Tibulo,https://kulturarvsdata.se/LSH/agents/49476,https://ast.wikipedia.org/wiki/Tibulo,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.058768,True,hard_404
ast,"Pliniu ""El Vieyu""",https://kulturarvsdata.se/LSH/agents/62315,"https://ast.wikipedia.org/wiki/Pliniu_""El_Vieyu""",kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.056787,True,hard_404
ast,Thormodus Torfæus,https://kulturarvsdata.se/LSH/agents/42283,https://ast.wikipedia.org/wiki/Thormodus_Torfæus,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.058815,True,hard_404
ast,Angelo Poliziano,https://kulturarvsdata.se/LSH/agents/51208,https://ast.wikipedia.org/wiki/Angelo_Poliziano,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.056163,True,hard_404
ast,Suetoniu,https://kulturarvsdata.se/LSH/agents/48324,https://ast.wikipedia.org/wiki/Suetoniu,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.055898,True,hard_404
ast,Lorenzo Valla,https://kulturarvsdata.se/LSH/agents/58570,https://ast.wikipedia.org/wiki/Lorenzo_Valla,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.055843,True,hard_404
ast,Giovanni Pico della Mirandola,https://kulturarvsdata.se/LSH/agents/46681,https://ast.wikipedia.org/wiki/Giovanni_Pico_della_Mirandola,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.056324,True,hard_404
ast,Johan Wilhelm Zetterstedt,https://kulturarvsdata.se/LSH/agents/50399,https://ast.wikipedia.org/wiki/Johan_Wilhelm_Zetterstedt,kulturarvsdata.se,ast,asturianu,kulturarvsdata.se,,,False,404.0,,0.058682,True,hard_404
